"Title","WorkoutType","WorkoutDescription","PlannedDuration","PlannedDistanceInMeters","WorkoutDay","CoachComments","DistanceInMeters","PowerAverage","PowerMax","Energy","AthleteComments","TimeTotalInHours","VelocityAverage","VelocityMax","CadenceAverage","CadenceMax","HeartRateAverage","HeartRateMax","TorqueAverage","TorqueMax","IF","TSS","HRZone1Minutes","HRZone2Minutes","HRZone3Minutes","HRZone4Minutes","HRZone5Minutes","HRZone6Minutes","HRZone7Minutes","HRZone8Minutes","HRZone9Minutes","HRZone10Minutes","PWRZone1Minutes","PWRZone2Minutes","PWRZone3Minutes","PWRZone4Minutes","PWRZone5Minutes","PWRZone6Minutes","PWRZone7Minutes","PWRZone8Minutes","PWRZone9Minutes","PWRZone10Minutes","Rpe","Feeling"
"Z2 - לפי דופק","Run","","1.33333333333333","","2026-02-01","","12528.83984375","230","419","1143.699","","1.38244915008545","2.51699995994568","","162","","136","155","","","0.638982729245007","63.03","44","39","1","0","0","0","0","","","","4","0","14","44","3","18","","","","","1","1"
"שחייה - ערב","Swim","","1","","2026-02-01","","2000","","","","","0.734216669400533","0.755001887504719","","24","","124","158","","","0.907997181827785","54.96","38","6","0","0","0","0","0","","","","","","","","","","","","","","2","7"
"Cardio","Other","","","","2026-02-01","","0","","","","","0.916243076324463","0","","","","103","158","","","0.582699088458914","34.39","49","6","1","0","0","0","0","","","","","","","","","","","","","","",""
"שחייה - ערב","Swim","","1","","2026-02-02","","2200","","","","","0.814192224608527","0.746775288526816","","24","","126","151","","","0.900688205031592","59.49","41","8","0","0","0","0","0","","","","","","","","","","","","","","2","1"
"מתפתח 2","Run","","1.5","","2026-02-03","","14084.0703125","244","446","1318.703","","1.50044369697571","2.60700011253357","","165","","144","171","","","0.685619735752171","78.94","42","24","17","7","0","0","0","","","","2","1","1","1","2","84","","","","","3","1"
"Treadmill Running","Run","","","","2026-02-03","","1780","199","451","147.168","","0.205412492156029","2.40700006484985","","133","","139","177","","","0.734021967839636","11.78","6","1","1","3","1","0","0","","","","4","1","0","0","0","7","","","","","1","5"
"רכיבה בסמי עופר מ6-7:30","Bike","","1.5","","2026-02-05","","25056.44921875","","","","","1.16126501560211","5.99399995803833","","","","140","171","","","0.676353778046876","59.08","38","16","11","5","0","0","0","","","","","","","","","","","","","","2","1"
"Cardio","Other","","","","2026-02-05","","0","","","","","0.894152224063873","0","","","","110","179","","","0.61353109166169","37.17","45","3","1","5","0","0","0","","","","","","","","","","","","","","",""
"ריצת נפח + 4טמפו","Run","","1.90805555555556","19000","2026-02-06","","19012.400390625","248","378","1743.009","","1.95338213443756","2.7039999961853","","169","","148","168","","","0.712199686670196","111.61","30","41","37","9","0","0","0","","","","2","0","0","0","0","115","","","","","2","1"
"רכיבת נפח","Bike","","3.25","","2026-02-07","","84404.6171875","","","","","3.34248089790344","7.01399993896484","","","","155","173","","","0.766604267358841","224.25","20","49","65","67","0","0","0","","","","","","","","","","","","","","3","1"
"Run z2 80min","Run","","1.33333333333333","","2026-02-08","","12637.51953125","242","392","1161.126","","1.33383941650391","2.63199996948242","","171","","142","158","","","0.682117473927836","69.25","23","54","3","0","0","0","0","","","","1","0","0","0","0","79","","","","","2","1"
"שחייה - ערב","Swim","","1","","2026-02-09","","2300","","","","","0.830819167561001","0.765645805592543","","25","","130","155","","","0.922784038453681","65.28","34","16","0","0","0","0","0","","","","","","","","","","","","","","1","1"
"TEMPO Z3 4K +6MIN REST","Run","","1.03777777777778","","2026-02-10","","9778.91015625","241","360","895.713","","1.03212869167328","2.63199996948242","","168","","136","164","","","0.668080548848598","51.06","41","3","17","1","0","0","0","","","","1","0","0","0","1","60","","","","","2","1"
